FungusID,Species,PaperID,Temperature,Time,Radius
FOX_30_2,FOX,66,30,264,40
FOX_30_2,FOX,66,30,312,41.5
DF24_30_1,DF24,67,30,48,9
DF24_30_1,DF24,67,30,96,12
DF24_30_1,DF24,67,30,144,16
DF24_30_1,DF24,67,30,216,23
DF24_30_1,DF24,67,30,264,27.5
DF24_30_1,DF24,67,30,312,32
DF24_30_2,DF24,68,30,48,9
DF24_30_2,DF24,68,30,96,12.5
DF24_30_2,DF24,68,30,144,16
DF24_30_2,DF24,68,30,216,20
DF24_30_2,DF24,68,30,264,23.5
DF24_30_2,DF24,68,30,312,26
C33_30_1,C33,69,30,48,6.5
C33_30_1,C33,69,30,96,9
C33_30_1,C33,69,30,144,12
C33_30_1,C33,69,30,216,16.5
C33_30_1,C33,69,30,264,19
C33_30_1,C33,69,30,312,21.5
C33_30_2,C33,70,30,48,7
C33_30_2,C33,70,30,96,10
C33_30_2,C33,70,30,144,13
C33_30_2,C33,70,30,216,16.5
C33_30_2,C33,70,30,264,19.5
C33_30_2,C33,70,30,312,21
DF16_30_1,DF16,71,30,48,11
DF16_30_1,DF16,71,30,96,18
DF16_30_1,DF16,71,30,144,25.5
DF16_30_1,DF16,71,30,216,36
DF16_30_1,DF16,71,30,264,39
DF16_30_1,DF16,71,30,312,41.5
DF16_30_2,DF16,72,30,48,10
DF16_30_2,DF16,72,30,96,17
DF16_30_2,DF16,72,30,144,24
DF16_30_2,DF16,72,30,216,30.5
DF16_30_2,DF16,72,30,264,32.5
DF16_30_2,DF16,72,30,312,35
DF58_30_1,DF58,73,30,48,6
DF58_30_1,DF58,73,30,96,10
DF58_30_1,DF58,73,30,144,13
DF58_30_1,DF58,73,30,216,18.5
DF58_30_1,DF58,73,30,264,23
DF58_30_1,DF58,73,30,312,27.5
DF58_30_2,DF58,74,30,48,5
DF58_30_2,DF58,74,30,96,9
DF58_30_2,DF58,74,30,144,12.5
DF58_30_2,DF58,74,30,216,19
DF58_30_2,DF58,74,30,264,23.5
DF58_30_2,DF58,74,30,312,28.5
J_30_1,J,75,30,48,3.5
J_30_1,J,75,30,96,4.5
J_30_1,J,75,30,144,5.5
J_30_1,J,75,30,216,6.5
J_30_1,J,75,30,264,7
J_30_1,J,75,30,312,7.5
J_30_2,J,76,30,48,5
J_30_2,J,76,30,96,5.5
J_30_2,J,76,30,144,6.5
J_30_2,J,76,30,216,9
J_30_2,J,76,30,264,10
J_30_2,J,76,30,312,11
C23_30_1,C23,77,30,48,14.5
C23_30_1,C23,77,30,96,25.5
C23_30_1,C23,77,30,144,36
C23_30_1,C23,77,30,216,44
C23_30_1,C23,77,30,264,44
C23_30_1,C23,77,30,312,44
C23_30_2,C23,78,30,48,15
C23_30_2,C23,78,30,96,25
C23_30_2,C23,78,30,144,35
C23_30_2,C23,78,30,216,46
C23_30_2,C23,78,30,264,46
C23_30_2,C23,78,30,312,46
DF10_30_1,DF10,79,30,48,12
DF10_30_1,DF10,79,30,96,16
DF10_30_1,DF10,79,30,144,21
DF10_30_1,DF10,79,30,216,27
DF10_30_1,DF10,79,30,264,29
DF10_30_1,DF10,79,30,312,30.5
DF10_30_2,DF10,80,30,48,12
DF10_30_2,DF10,80,30,96,16.5
DF10_30_2,DF10,80,30,144,21
DF10_30_2,DF10,80,30,216,29
DF10_30_2,DF10,80,30,264,32
DF10_30_2,DF10,80,30,312,34
DF25_30_1,DF25,81,30,48,22
DF25_30_1,DF25,81,30,96,38
DF25_30_1,DF25,81,30,144,42
DF25_30_1,DF25,81,30,216,42
DF25_30_1,DF25,81,30,264,42
DF25_30_1,DF25,81,30,312,42
DF25_30_2,DF25,82,30,48,21
DF25_30_2,DF25,82,30,96,31
DF25_30_2,DF25,82,30,144,41.5
DF25_30_2,DF25,82,30,216,42.5
DF25_30_2,DF25,82,30,264,42.5
DF25_30_2,DF25,82,30,312,42.5
C29_30_1,C29,83,30,48,5.5
C29_30_1,C29,83,30,96,6.5
C29_30_1,C29,83,30,144,7.5
C29_30_1,C29,83,30,216,9
C29_30_1,C29,83,30,264,10.5
C29_30_1,C29,83,30,312,12
C29_30_2,C29,84,30,48,5
C29_30_2,C29,84,30,96,6
C29_30_2,C29,84,30,144,7
C29_30_2,C29,84,30,216,8.5
C29_30_2,C29,84,30,264,9.5
C29_30_2,C29,84,30,312,10.5
C35_30_1,C35,85,30,48,13
C35_30_1,C35,85,30,96,21
C35_30_1,C35,85,30,144,28.5
C35_30_1,C35,85,30,216,32
C35_30_1,C35,85,30,264,33
C35_30_1,C35,85,30,312,34
C35_30_2,C35,86,30,48,14
C35_30_2,C35,86,30,96,21.5
C35_30_2,C35,86,30,144,27
C35_30_2,C35,86,30,216,35.5
C35_30_2,C35,86,30,264,38
C35_30_2,C35,86,30,312,39
DF04_30_1,DF04,87,30,48,8
DF04_30_1,DF04,87,30,96,12
DF04_30_1,DF04,87,30,144,15
DF04_30_1,DF04,87,30,216,19
DF04_30_1,DF04,87,30,264,22.5
DF04_30_1,DF04,87,30,312,25.5
DF04_30_2,DF04,88,30,48,8
DF04_30_2,DF04,88,30,96,13
DF04_30_2,DF04,88,30,144,16
DF04_30_2,DF04,88,30,216,21
DF04_30_2,DF04,88,30,264,24
DF04_30_2,DF04,88,30,312,26.5
DF32_30_1,DF32,89,30,48,13.5
DF32_30_1,DF32,89,30,96,25
DF32_30_1,DF32,89,30,144,37
DF32_30_1,DF32,89,30,216,54
DF32_30_1,DF32,89,30,264,60
DF32_30_1,DF32,89,30,312,60
DF32_30_2,DF32,90,30,48,14.5
DF32_30_2,DF32,90,30,96,25
DF32_30_2,DF32,90,30,144,37.5
DF32_30_2,DF32,90,30,216,43
DF32_30_2,DF32,90,30,264,43
DF32_30_2,DF32,90,30,312,43
C41_30_1,C41,91,30,48,14
C41_30_1,C41,91,30,96,22.5
C41_30_1,C41,91,30,144,32
C41_30_1,C41,91,30,216,43
C41_30_1,C41,91,30,264,43
C41_30_1,C41,91,30,312,43
C41_30_2,C41,92,30,48,13
C41_30_2,C41,92,30,96,22
C41_30_2,C41,92,30,144,30
C41_30_2,C41,92,30,216,39
C41_30_2,C41,92,30,264,41.5
C41_30_2,C41,92,30,312,41.5
C34_30_1,C34,93,30,48,19
C34_30_1,C34,93,30,96,32
C34_30_1,C34,93,30,144,38
C34_30_1,C34,93,30,216,38
C34_30_1,C34,93,30,264,39.5
C34_30_1,C34,93,30,312,39.5
C34_30_2,C34,94,30,48,19
C34_30_2,C34,94,30,96,28
C34_30_2,C34,94,30,144,29
C34_30_2,C34,94,30,216,29
C34_30_2,C34,94,30,264,29
C34_30_2,C34,94,30,312,29
C40_30_1,C40,95,30,48,17
C40_30_1,C40,95,30,96,27.5
C40_30_1,C40,95,30,144,39
C40_30_1,C40,95,30,216,47
C40_30_1,C40,95,30,264,47
C40_30_1,C40,95,30,312,47
C40_30_2,C40,96,30,48,18
C40_30_2,C40,96,30,96,28.5
C40_30_2,C40,96,30,144,37
C40_30_2,C40,96,30,216,39
C40_30_2,C40,96,30,264,39
C40_30_2,C40,96,30,312,39
DF42_30_1,DF42,97,30,48,11
DF42_30_1,DF42,97,30,96,17
DF42_30_1,DF42,97,30,144,23.5
DF42_30_1,DF42,97,30,216,31
DF42_30_1,DF42,97,30,264,34
DF42_30_1,DF42,97,30,312,37
DF42_30_2,DF42,98,30,48,11.5
DF42_30_2,DF42,98,30,96,18
DF42_30_2,DF42,98,30,144,25.5
DF42_30_2,DF42,98,30,216,35
DF42_30_2,DF42,98,30,264,38
DF42_30_2,DF42,98,30,312,41
M_30_1,M,99,30,48,17.5
M_30_1,M,99,30,96,32.5
M_30_1,M,99,30,144,43
M_30_1,M,99,30,216,45
M_30_1,M,99,30,264,45
M_30_1,M,99,30,312,45
M_30_2,M,100,30,48,18
M_30_2,M,100,30,96,34
M_30_2,M,100,30,144,44
M_30_2,M,100,30,216,44
M_30_2,M,100,30,264,44
M_30_2,M,100,30,312,44
C13_30_1,C13,101,30,48,9.5
C13_30_1,C13,101,30,96,20
C13_30_1,C13,101,30,144,31.5
C13_30_1,C13,101,30,216,43
C13_30_1,C13,101,30,264,43
C13_30_1,C13,101,30,312,43
C13_30_2,C13,102,30,48,10.5
C13_30_2,C13,102,30,96,20.5
C13_30_2,C13,102,30,144,31
C13_30_2,C13,102,30,216,40
C13_30_2,C13,102,30,264,40
C13_30_2,C13,102,30,312,40
C31_30_1,C31,103,30,48,4
C31_30_1,C31,103,30,96,4
C31_30_1,C31,103,30,144,4.5
C31_30_1,C31,103,30,216,5
C31_30_1,C31,103,30,264,5.5
C31_30_1,C31,103,30,312,6
C31_30_2,C31,104,30,48,4
C31_30_2,C31,104,30,96,4
C31_30_2,C31,104,30,144,4.5
